id_criptografado,ano,data,mes,hora,delito,longitude,latitude,desc_delito,aisp,risp,locf,dia_semana,geometria
61330f147f8fe10eaa633d80fee293e4347d1151a5e984e3f4456c1417cf2526,2024,01/12/2024,12,16:50:00,15,-43.28418646,-22.88833048,Roubo a transeunte,3,1,Rua jose bonifacio,Domingo,POINT(-43.28418646 -22.88833048)
60177472a1ccc963dbbf8f5a690080c84dde5e426c90906f8927e970e1c1d783,2024,01/12/2024,12,05:00:00,15,-43.17747296,-22.91591986,Roubo a transeunte,5,1,Rua da lapa,Domingo,POINT(-43.17747296 -22.91591986)
82b20ff11864c081914606da17578b9fae5559771742f98909efa747549dcaa7,2024,01/12/2024,12,20:30:00,15,-43.467556,-23.02863106,Roubo a transeunte,31,2,Avenida avenida lucio costa,Domingo,POINT(-43.467556 -23.02863106)
8152a5372e17db9406603574beb16bfb9adcce8b5eed0b7c68095c055875b1cf,2024,01/12/2024,12,05:50:00,15,-43.49255698,-22.85740096,Roubo a transeunte,14,2,Avenida etiopia,Domingo,POINT(-43.49255698 -22.85740096)
f10160d7b91a3cece2d0bc7946198b5f220f827c4b28e3c1b2d5c1351ef2fb13,2024,02/12/2024,12,21:50:00,15,-43.37297699,-22.92596698,Roubo a transeunte,18,2,Rua rua nacional,Segunda,POINT(-43.37297699 -22.92596698)
12496772acd1dad1965193a7bac8092f0ffb313fd7205d5c64a3902f1ab7fdc9,2024,02/12/2024,12,05:10:00,15,-43.20763028,-22.97324369,Roubo a transeunte,23,1,Vila rua tabatinguera,Segunda,POINT(-43.20763028 -22.97324369)
4be4887896751ae6073a34f971f2b57c877d928b763e3d43da036a64e5c48cb2,2024,02/12/2024,12,14:45:00,15,-43.46449044,-23.02139984,Roubo a transeunte,31,2,Rua henrique stamile coutinho,Segunda,POINT(-43.46449044 -23.02139984)
ee037fe952d9ba99c4836265caf84b30af3bce90c0dbcd6b0dc011645dfc9760,2024,02/12/2024,12,19:30:00,15,-43.18739935,-22.91861892,Roubo a transeunte,5,1,Rua monte alegre,Segunda,POINT(-43.18739935 -22.91861892)
64798dc6dd39ad4c05a7a011ae20fed81806610df749e680b128a500e38006e0,2024,02/12/2024,12,23:30:00,15,-43.3794031,-22.91457524,Roubo a transeunte,18,2,Estrada estrada meringuava,Segunda,POINT(-43.3794031 -22.91457524)
09dc61ee97557f4fea1475b044fc82af05dea3bea80c5f7b63566a8e8fe7a207,2024,02/12/2024,12,17:40:00,15,-43.30222229,-22.86628279,Roubo a transeunte,3,1,Avenida pastor martin luther king jr.,Segunda,POINT(-43.30222229 -22.86628279)
5497801af6e0407c671a07c4e941570941943bff546a4262782a9bb5589a29b0,2024,02/12/2024,12,06:05:00,15,-43.26987203,-22.882432,Roubo a transeunte,3,1,Rua luiza vale,Segunda,POINT(-43.26987203 -22.882432)
43467e6c22de87a7550d55928c466e44de9ac2713af23f23ae3104fa22e318b3,2024,02/12/2024,12,01:00:00,15,-43.25121499,-22.92976699,Roubo a transeunte,6,1,Travessa travessa vasconcelos,Segunda,POINT(-43.25121499 -22.92976699)
d8fb3bf18eb314d7d6e367db6b07fa240b44f643da2f58e021a3e15a15158647,2024,02/12/2024,12,18:40:00,15,-43.38220003,-22.95437888,Roubo a transeunte,18,2,Rua rua marilena,Segunda,POINT(-43.38220003 -22.95437888)
757d639257c78caac40e9b41ee5cd935fd9958c7edd310685520c8d4d1bc4ede,2024,02/12/2024,12,12:45:00,15,-43.37181296,-22.92346398,Roubo a transeunte,18,2,Estrada estrada do tindiba,Segunda,POINT(-43.37181296 -22.92346398)
15f7af76fe243aab99059cad01f3e5e0091c39944ee8d7b0157cc49341e7ed9d,2024,03/12/2024,12,14:00:00,15,-43.2724778,-22.89894194,Roubo a transeunte,3,1,Rua rua miguel fernandes,Terca,POINT(-43.2724778 -22.89894194)
d0e4d38f34cd380d988cbc049ad930c91638d6c4caab0d105f744611e5d4efa2,2024,03/12/2024,12,04:30:00,15,-43.54019705,-22.90990941,Roubo a transeunte,40,2,Rua palmeira das missoes,Terca,POINT(-43.54019705 -22.90990941)
350733608c331954cad658514117acc6649dadde3c0a2e5bf4505ab00341ab50,2024,03/12/2024,12,18:00:00,15,-43.17120483,-22.92419193,Roubo a transeunte,2,1,Avenida avenida infante dom henrique,Terca,POINT(-43.17120483 -22.92419193)
26908e5a5bb2f935983e4134c1c2e54545676909d923b4bc5f714fb7708af5fb,2024,03/12/2024,12,19:30:00,15,-43.34023469,-22.87065134,Roubo a transeunte,9,2,Rua soares caldeira,Terca,POINT(-43.34023469 -22.87065134)
5a1353308cd5dd8b45e8ef6bb54aca18f67caac24e8b81d8d1a61b50660c2f1b,2024,03/12/2024,12,15:00:00,15,-43.23418625,-22.92388502,Roubo a transeunte,6,1,Rua rua santo affonso,Terca,POINT(-43.23418625 -22.92388502)
a30fbcf65ce21abb49fe6bcb91c54bbb307f5110a7a41d0b05817f8ea15f5e18,2024,03/12/2024,12,22:50:00,15,-43.40017532,-22.88761098,Roubo a transeunte,14,2,Rua joaquim ferreira,Terca,POINT(-43.40017532 -22.88761098)
47a5dedb0edde58a84317c49ead6b85309e12b183bb8c53c45f5f5a6a51bf07a,2024,03/12/2024,12,22:06:00,15,-43.37490882,-22.86427763,Roubo a transeunte,9,2,Rua doutor thompson mota,Terca,POINT(-43.37490882 -22.86427763)
b130645567f6f72a0908dc7f815cc6e98fc28221b7003535a71ad5a3e58e01c0,2024,04/12/2024,12,06:10:00,15,-43.27544898,-22.91199498,Roubo a transeunte,3,1,Rua cabucu,Quarta,POINT(-43.27544898 -22.91199498)
60ec4cbdd696a53326b23bf28830c3e73a2de7daa649fdd3fe1f868121ff4933,2024,04/12/2024,12,10:40:00,15,-43.32070078,-22.86032256,Roubo a transeunte,41,2,Rua rua lima drumond,Quarta,POINT(-43.32070078 -22.86032256)
8a2710d3a87a4f31a9979d04405c0ec8004ec130dffae82b65c3dd314b919248,2024,04/12/2024,12,21:00:00,15,-43.56496159,-22.92345137,Roubo a transeunte,40,2,Rua rua jacareancanga,Quarta,POINT(-43.56496159 -22.92345137)
6fa8016100f9deafc249abfec5e40d4cee17712ff85b2d0048c2bba774d11123,2024,04/12/2024,12,22:30:00,15,-43.404217,-22.82418499,Roubo a transeunte,41,2,Estrada estrada do do engenho novo,Quarta,POINT(-43.404217 -22.82418499)
15b83fb4a4fc9bad8dc9a21a127bf807ab3e2753006e3c0544c276c6fda0b8c7,2024,04/12/2024,12,22:41:00,15,-43.34762748,-23.00565793,Roubo a transeunte,31,2,Avenida jornalista ricardo marinho,Quarta,POINT(-43.34762748 -23.00565793)
ffce89ae55bd866a4b68e11da264d5e00bd0c29fcc6151df1299604e9d93d91a,2024,05/12/2024,12,21:30:00,15,-43.23395649,-22.9096988,Roubo a transeunte,6,1,Avenida presidente castelo branco,Quinta,POINT(-43.23395649 -22.9096988)
7f15f091ad444b6d698c99f0b90dab32ff47e1250922af45b6bf05884a703b8f,2024,05/12/2024,12,03:10:00,15,-43.21739411,-22.91830464,Roubo a transeunte,6,1,Rua doutor satamini,Quinta,POINT(-43.21739411 -22.91830464)
dae577d3839155eb0b08880857d7a68e9b37973f2dd9f5931bb00ab2d0279d7d,2024,05/12/2024,12,21:00:00,15,-43.366211,-22.995996,Roubo a transeunte,31,2,Avenida ayrton senna,Quinta,POINT(-43.366211 -22.995996)
c40877551b61a3d2eac46cfc9897e990bf14055bde224f58d28f7c279c0b2487,2024,05/12/2024,12,22:40:00,15,-43.47160496,-22.85693499,Roubo a transeunte,14,2,Avenida avenida brasil,Quinta,POINT(-43.47160496 -22.85693499)
ca264067fc55c3877f4a5465ad6b9b2f7a701339556ac2088176122a358191ba,2024,05/12/2024,12,16:45:00,15,-43.1858245,-22.94726955,Roubo a transeunte,2,1,Rua bambina,Quinta,POINT(-43.1858245 -22.94726955)
53d16c2dbf9d7dc6dde8f978040895c0693080ac41972ece9cbf43a4b1477aeb,2024,05/12/2024,12,01:18:00,15,-43.29389968,-22.88084061,Roubo a transeunte,3,1,Avenida joao ribeiro,Quinta,POINT(-43.29389968 -22.88084061)
cb9b8b595d927560c5e24a6c31415d5fa8e0ceac7e61b27b88a6b69ea6ed9779,2024,06/12/2024,12,05:50:00,15,-43.31939054,-22.85515403,Roubo a transeunte,41,2,Rua tajuri,Sexta,POINT(-43.31939054 -22.85515403)
8775335a38ce6792491e62e9771efcecc1e980507e7bf9105885f635824922aa,2024,06/12/2024,12,18:50:00,15,-43.3505177,-22.85477557,Roubo a transeunte,9,2,Estrada do barro vermelho,Sexta,POINT(-43.3505177 -22.85477557)
df0256a11e1c0517ef85949b4cd45155f23f8977d06776c5b21386f0adc120e4,2024,06/12/2024,12,12:00:00,15,-43.27579998,-22.83801796,Roubo a transeunte,16,1,Rua rua patagonia,Sexta,POINT(-43.27579998 -22.83801796)
896d42736dfa01ba9ba7d3f9d73cd757e45934d2f3f06cb706741d58fef05eb8,2024,06/12/2024,12,03:30:00,15,-43.18155043,-22.91320995,Roubo a transeunte,5,1,Avenida mem de sa,Sexta,POINT(-43.18155043 -22.91320995)
382ed9d7c4aa1af86e9d78a35617cc0f58a54c16359e2fba37795ecc24883cfa,2024,06/12/2024,12,00:24:00,15,-43.33959088,-22.87662222,Roubo a transeunte,9,2,Rua domingos lopes,Sexta,POINT(-43.33959088 -22.87662222)
1f4b7abd90551ff348643544c2e43d7060f8a3dbc0e1764f27200a89e7c7c55b,2024,06/12/2024,12,01:00:00,15,-43.26531085,-22.885292,Roubo a transeunte,3,1,Rua rua conde de azambuja,Sexta,POINT(-43.26531085 -22.885292)
e080d35d713831162945e73b30976bc8bb05f8fd2687913ba5209421181a4e9e,2024,06/12/2024,12,04:20:00,15,-43.42279267,-22.8774649,Roubo a transeunte,14,2,Estrada general conrobert pereira da costa,Sexta,POINT(-43.42279267 -22.8774649)
d0f58214778c3edfe18a51cb097a6eeb61e5d7ae2120ef22ff484f1c04bd3e48,2024,06/12/2024,12,20:30:00,15,-43.29114827,-22.8358425,Roubo a transeunte,16,1,Rua guapore,Sexta,POINT(-43.29114827 -22.8358425)
61907e4788644c55c794c8c586c5d852675c49db08ff2c8ea39a23676b5df276,2024,06/12/2024,12,17:00:00,15,-43.19716322,-22.98666788,Roubo a transeunte,23,1,Avenida avenida rainha elizabeth da belgica,Sexta,POINT(-43.19716322 -22.98666788)
f154fd38c7cb165c6b5338641ad956ce0fab0d8acbba328beded0462865abfa0,2024,07/12/2024,12,03:10:00,15,-43.20611832,-22.98423099,Roubo a transeunte,23,1,Rua visconde de piraja,Sabado,POINT(-43.20611832 -22.98423099)
b9182c9417357224c13e190b6c5ed10353315f006ef573298fdab305bcc9a986,2024,07/12/2024,12,15:32:00,15,-43.39234944,-22.95677893,Roubo a transeunte,18,2,Rua marolo,Sabado,POINT(-43.39234944 -22.95677893)
d8a44505397cd9ea8a36b55c4f921a70f51c9e73b7c7a21c9c52e45deedc7825,2024,07/12/2024,12,01:05:00,15,-43.24679695,-22.9381592,Roubo a transeunte,6,1,Rua conde de bonfim,Sabado,POINT(-43.24679695 -22.9381592)
1d234dd0a179176228c451e3282371847153f2d6576f39d755ba6ec05c92972f,2024,07/12/2024,12,03:40:00,15,-43.35334697,-22.96256799,Roubo a transeunte,18,2,Avenida avenida ayrton senna,Sabado,POINT(-43.35334697 -22.96256799)
c0afef93c5616fbcb19d0a173b146c192ca75bf6538acb575c3b0c0bde1d6999,2024,07/12/2024,12,01:11:00,15,-43.17714984,-22.91078389,Roubo a transeunte,5,1,Rua senador dantas,Sabado,POINT(-43.17714984 -22.91078389)
6b1efe90a343218afab64eaee2aa94496758070e6d77450e8382ce9d79f3740b,2024,07/12/2024,12,01:00:00,15,-43.33159889,-22.86266867,Roubo a transeunte,9,2,Rua rua ministro edgard romero,Sabado,POINT(-43.33159889 -22.86266867)
aa6ea53a7a9e5972e165ba45736ce6aef7745f2c82de5c2199c6151048d71d54,2024,07/12/2024,12,05:20:00,15,-43.23669438,-22.913781,Roubo a transeunte,6,1,Boulevard boulevard vinte e oito de setembro,Sabado,POINT(-43.23669438 -22.913781)
024b060f2f7a130e0b5498770ad91c1203b1e34ae9876a7e496dfadab280545c,2024,07/12/2024,12,22:50:00,15,-43.40976077,-22.98104007,Roubo a transeunte,31,2,Avenida salvador allende,Sabado,POINT(-43.40976077 -22.98104007)
bcdd97af6a11705cdbe5c11a928da9fd8ff279a1da9c9172aa6d4aad63e0b105,2024,07/12/2024,12,04:30:00,15,-43.36197498,-22.97169899,Roubo a transeunte,18,2,Avenida ayrton senna,Sabado,POINT(-43.36197498 -22.97169899)
01acce449b7d9a7945054c5d803491d5bc4ad83f3bf3cea3b28fc9442f0ec778,2024,08/12/2024,12,22:30:00,15,-43.37909153,-22.8353677,Roubo a transeunte,41,2,Estrada camboata,Domingo,POINT(-43.37909153 -22.8353677)
9ddc92c142edeac869c6d4decfe3ec11bb1c85ef49f6abced5aeb9db51e0828d,2024,08/12/2024,12,20:30:00,15,-43.22320696,-22.97097247,Roubo a transeunte,23,1,Rua rua jardim botanico,Domingo,POINT(-43.22320696 -22.97097247)
0e53ab9235fd0c698191057c7b084c6ca1995686f143aec3c4d534e739df4d2f,2024,08/12/2024,12,23:30:00,15,-43.17969563,-22.93392813,Roubo a transeunte,2,1,Rua sao salvador,Domingo,POINT(-43.17969563 -22.93392813)
447488ffdb2c263787ded83046c6947e9b694abd9ec63f9e6eb68f90ee187eb0,2024,08/12/2024,12,05:00:00,15,-43.18323778,-22.91229438,Roubo a transeunte,5,1,Avenida avenida gomes freire,Domingo,POINT(-43.18323778 -22.91229438)
2552bfd72feee6bd721d468bad6aec134cb41e9d0737de3bf300e19888c34378,2024,08/12/2024,12,00:30:00,15,-43.39449995,-22.96369996,Roubo a transeunte,18,2,Avenida salvador allende,Domingo,POINT(-43.39449995 -22.96369996)
4cda34d4b6ca6437ad74b86b28f5114e42d6745213c1e2bb899215f51be5ba41,2024,08/12/2024,12,13:25:00,15,-43.23679999,-22.84168896,Roubo a transeunte,17,1,Vila rua professor rodolpho paulo rocco,Domingo,POINT(-43.23679999 -22.84168896)
d2f3aeace69601b4d329a9b8f7c59c45e4a03fed3765704a92b5fbcb8b262103,2024,08/12/2024,12,23:40:00,15,-43.43251337,-23.00228746,Roubo a transeunte,31,2,Vila avenida salvador allende,Domingo,POINT(-43.43251337 -23.00228746)
7397961033684a16517dcc99668203b4e96fe6d8894f6768fb9487c8906ad0ef,2024,08/12/2024,12,00:25:00,15,-43.31124621,-23.0065666,Roubo a transeunte,31,2,Avenida armando lombardi,Domingo,POINT(-43.31124621 -23.0065666)
4ae272a373422b7a15211767c3ab6ea19b644a80dad15b6a6935f434302a13c6,2024,08/12/2024,12,19:30:00,15,-43.38643572,-22.90839688,Roubo a transeunte,18,2,Estrada do cafunda,Domingo,POINT(-43.38643572 -22.90839688)
cc8872a9fe06c652a42fb786fa8e34b2baa6aaa237865571fc7270ded73e31d4,2024,08/12/2024,12,02:00:00,15,-43.29957307,-22.84180548,Roubo a transeunte,41,2,Vila avenida vicente de carvalho,Domingo,POINT(-43.29957307 -22.84180548)
